source,ref_id,escola,turma,participante_hash,participante_tipo,pontos,acertos,total,tempo_seg,status,occurred_at
jogos,9c72e5be-c106-41ea-9824-4a376a5d3ced,,,4ad6f3e18af71e1521132d3f418b1098345c529461038d23313f1b9d259a85f9,aluno,500,5,,0,finalizado,2026-06-12 10:34:35.666606-03
jogos,d879fc33-3db7-4645-84cc-b594166f2bc3,,,4ad6f3e18af71e1521132d3f418b1098345c529461038d23313f1b9d259a85f9,aluno,200,0,,96,finalizado,2026-06-12 10:37:16.134044-03
jogos,374e6e91-3154-4db4-97d9-d2217041147b,,,4ad6f3e18af71e1521132d3f418b1098345c529461038d23313f1b9d259a85f9,aluno,0,0,,0,em_andamento,2026-06-12 10:39:22.41689-03
jogos,30087009-b663-4ad0-9c9f-904fe7e835b2,,,1d0897cc97faae96935f80b3fe64997037bcd37d0471804153976a7f70edff25,aluno,0,0,,0,em_andamento,2026-06-12 13:28:28.268987-03
