source,ref_id,escola,turma,participante_hash,participante_tipo,pontos,acertos,total,tempo_seg,status,occurred_at
jogos,97448814-3a00-41ac-b77b-0da1cbcf2299,Escola A,702,52c0e022de6842b38c9aa43cd3c9fa6428b71a737075ccdf05c5a609fc9f8c21,aluno,0,0,,0,em_andamento,2026-09-11 10:20:22.079698-03
jogos,def746aa-54f8-4615-9bb0-33dba7e8bf06,Escola A,701,07b277bc59c15db9fb0beceb515ae7476abea8f7f986db0867cad75c3045b233,aluno,2000,1,,70,finalizado,2026-09-11 14:56:47.756787-03
jogos,955c832b-95d6-4b37-a997-27c5a1519272,Escola A,701,07b277bc59c15db9fb0beceb515ae7476abea8f7f986db0867cad75c3045b233,aluno,2000,1,,71,finalizado,2026-09-11 14:58:29.90221-03
jogos,2c30a50c-6882-46e6-b994-b266682c8a2c,Escola A,701,07b277bc59c15db9fb0beceb515ae7476abea8f7f986db0867cad75c3045b233,aluno,0,0,,0,em_andamento,2026-09-11 14:59:49.163938-03
