source,ref_id,escola,turma,participante_hash,participante_tipo,pontos,acertos,total,tempo_seg,status,occurred_at
dever,200,E.M. George Pfisterer,703,449a08cc9d7e6fea2aad11f7e938385357597ea16f7dc674f5b0d6823b09f5b7,aluno,68,8,10,190,encerrado,2026-03-16 21:00:00-03
dever,201,E.M. George Pfisterer,701,2b9ce6e64bf794bb2713bcf69fa117d990918b6296ba59684abd5942aa2e3e2a,aluno,48,2,10,306,encerrado,2026-03-17 13:59:43-03
dever,206,E.M. George Pfisterer,707,259a1f3fac6f00687ae2dad383d958cc3c8deb309c15f7c898a459b0d51cbda1,aluno,36,1,10,0,encerrado,2026-03-17 20:41:59.762-03
