source,ref_id,escola,turma,participante_hash,participante_tipo,pontos,acertos,total,tempo_seg,status,occurred_at
jogos,68bb8aa9-9339-499f-ae30-67c82a40262d,Escola A,706,950be96c06694b3855c9b6af054ae9431eae819d60f8a22b589ef5e34ca2a07a,aluno,0,0,,0,em_andamento,2026-08-20 21:09:12.269249-03
jogos,07a93730-3f33-4787-aeea-79362673e33b,Escola A,703,5eb050f8d72bd9905dee38d074ff58a3639c5f2504e704114fadb84c4de62d9d,aluno,0,0,,20,finalizado,2026-08-21 11:03:49.820697-03
jogos,62c5ef5c-1cc0-4194-9808-d3d3d799d0ec,Escola A,703,5eb050f8d72bd9905dee38d074ff58a3639c5f2504e704114fadb84c4de62d9d,aluno,700,7,,144,finalizado,2026-08-21 11:04:48.096742-03
jogos,4c807cef-d3e3-4527-af3d-fe7e0fd4de93,Escola A,703,5eb050f8d72bd9905dee38d074ff58a3639c5f2504e704114fadb84c4de62d9d,aluno,0,0,,0,em_andamento,2026-08-21 11:10:38.029737-03
jogos,1b6e1d38-1df1-49b1-bbfd-9dda3c91c3ba,Escola A,703,5eb050f8d72bd9905dee38d074ff58a3639c5f2504e704114fadb84c4de62d9d,aluno,975,10,,522,finalizado,2026-08-21 13:39:37.544814-03
jogos,988993a9-5f1a-436e-a812-6d76b46a5e22,Escola A,703,5eb050f8d72bd9905dee38d074ff58a3639c5f2504e704114fadb84c4de62d9d,aluno,1000,10,,578,finalizado,2026-08-21 13:41:23.700788-03
jogos,a84c6d49-fb38-4f5b-bdbd-dbf0ee0df0a4,Escola A,703,5eb050f8d72bd9905dee38d074ff58a3639c5f2504e704114fadb84c4de62d9d,aluno,975,10,,577,finalizado,2026-08-21 13:42:32.397719-03
