source,ref_id,escola,turma,participante_hash,participante_tipo,pontos,acertos,total,tempo_seg,status,occurred_at
jogos,f94b354d-255e-42ca-a51d-8c0cde3a47d2,,,07b277bc59c15db9fb0beceb515ae7476abea8f7f986db0867cad75c3045b233,aluno,0,0,,188,finalizado,2026-06-04 10:59:58.649833-03
jogos,8d2b6eb4-4776-4c7b-a075-70ab56fd43a0,,,07b277bc59c15db9fb0beceb515ae7476abea8f7f986db0867cad75c3045b233,aluno,1000,10,,108,finalizado,2026-06-04 11:03:30.838437-03
jogos,b35f8e8b-48bc-40de-837e-7c023b155010,,,07b277bc59c15db9fb0beceb515ae7476abea8f7f986db0867cad75c3045b233,aluno,2000,10,,100,finalizado,2026-06-04 11:05:50.816968-03
jogos,a4d4a09d-42ac-4418-8664-c4f60345247e,,,07b277bc59c15db9fb0beceb515ae7476abea8f7f986db0867cad75c3045b233,aluno,1800,9,,149,finalizado,2026-06-04 11:07:48.542253-03
jogos,b0c65bcb-4cb3-4179-a92c-bf8690c8ea40,,,07b277bc59c15db9fb0beceb515ae7476abea8f7f986db0867cad75c3045b233,aluno,1800,9,,56,finalizado,2026-06-04 11:10:38.182875-03
jogos,57918e01-de14-4398-b22b-0ee079c1ff43,,,07b277bc59c15db9fb0beceb515ae7476abea8f7f986db0867cad75c3045b233,aluno,2000,1,,248,finalizado,2026-06-04 18:19:06.87712-03
