source,ref_id,escola,turma,participante_hash,participante_tipo,pontos,acertos,total,tempo_seg,status,occurred_at
dever,189,E.M. George Pfisterer,701,8a70297c2af50fb4e18301c8ba9165532271a14e87026c6a5e073d9be89d2a86,aluno,1270,7,10,0,encerrado,2026-04-07 21:14:38.762-03
dever,190,Instituto Cultural Olavo Bilac,801,62467eba7e58e69dd0659848376e7a1f8cdbfd98d50361ce9871004d30bd606f,aluno,1100,10,10,0,encerrado,2026-04-08 11:47:23.313-03
dever,191,E.M. George Pfisterer,701,791a9208876d94f82daf1fb5eb4118cabc8c1e8cee9da1e903a275039c6785f5,aluno,995,8,10,0,encerrado,2026-04-08 17:07:32.282-03
dever,192,Instituto Cultural Olavo Bilac,801,62467eba7e58e69dd0659848376e7a1f8cdbfd98d50361ce9871004d30bd606f,aluno,1060,8,10,0,encerrado,2026-04-08 17:16:38.663-03
