source,ref_id,escola,turma,participante_hash,participante_tipo,pontos,acertos,total,tempo_seg,status,occurred_at
jogos,6c5427fe-bb3a-4ed9-9e4c-3909e278719e,,,1d0897cc97faae96935f80b3fe64997037bcd37d0471804153976a7f70edff25,aluno,0,0,,9,finalizado,2026-05-09 22:09:13.324428-03
jogos,496ee50a-bef6-450f-8c5d-e2f2d5f85d38,,,1d0897cc97faae96935f80b3fe64997037bcd37d0471804153976a7f70edff25,aluno,350,7,,257,finalizado,2026-05-09 22:09:40.8832-03
jogos,4c808ffb-35c0-48db-a0ec-0a23a9e52e3a,,,1d0897cc97faae96935f80b3fe64997037bcd37d0471804153976a7f70edff25,aluno,0,0,,401,finalizado,2026-05-10 15:10:27.958347-03
jogos,433ad2d2-1d44-444d-8cf8-4889ab887790,,,1d0897cc97faae96935f80b3fe64997037bcd37d0471804153976a7f70edff25,aluno,5000,1,,134,finalizado,2026-05-10 15:17:57.871873-03
jogos,f0342903-7311-4fb8-aad6-4f609bf742a4,,,1d0897cc97faae96935f80b3fe64997037bcd37d0471804153976a7f70edff25,aluno,2000,1,,276,finalizado,2026-05-10 15:20:21.242318-03
dever,1778335766454,E.M. George Pfisterer,701,3f061449b2e8da0e55de01e361cf4688400a1e8995516cba72b5058570eb2ca8,aluno,100,10,10,91,encerrado,2026-05-10 15:21:02.265876-03
