source,ref_id,escola,turma,participante_hash,participante_tipo,pontos,acertos,total,tempo_seg,status,occurred_at
jogos,c8e7c8c6-4487-4dc8-9e5d-b97d50fe8d5b,,,392e517f07e4fc744cb3471e2b919d1a5913a96b59c5b392f5af1e7db16460e6,aluno,0,0,,0,finalizado,2026-06-02 21:14:34.423196-03
jogos,5de1509b-879c-4e21-97b4-0da7fb848e1c,,,392e517f07e4fc744cb3471e2b919d1a5913a96b59c5b392f5af1e7db16460e6,aluno,542,24,,416,finalizado,2026-06-02 21:21:46.430719-03
jogos,12a055c8-d9d6-4092-ae3a-bc917e841691,,,392e517f07e4fc744cb3471e2b919d1a5913a96b59c5b392f5af1e7db16460e6,aluno,5,18,,495,finalizado,2026-06-02 21:25:36.9699-03
jogos,40d27708-f5f8-4dee-b014-b76cdbce55ad,,,1b4862d6b076bea00ee9c679c6a661be8eb1abaaf1eeb90af3c9b3bc443fa7c8,aluno,2000,10,,384,finalizado,2026-06-02 21:53:38.51381-03
jogos,dd965817-b53e-4890-992b-eca2f23b9c8a,,,5eb050f8d72bd9905dee38d074ff58a3639c5f2504e704114fadb84c4de62d9d,aluno,1800,9,,276,finalizado,2026-06-03 13:27:51.466292-03
jogos,65ec9486-bbe8-4990-8ea7-c33f5497b1a5,,,1b4862d6b076bea00ee9c679c6a661be8eb1abaaf1eeb90af3c9b3bc443fa7c8,aluno,5000,10,,151,finalizado,2026-06-03 15:58:23.32635-03
