source,ref_id,escola,turma,participante_hash,participante_tipo,pontos,acertos,total,tempo_seg,status,occurred_at
dever,199,E.M. George Pfisterer,701,a3d7ffc075daaa745c471770c067f63a1caaa7183fab6284dbae587c8dda0230,aluno,71,10,10,737,encerrado,2026-03-16 18:47:08-03
dever,204,E.M. George Pfisterer,701,ad475a812460762a0395fe6418ff5828f6108e1b90896e8f88bf9ae4f8cf470f,aluno,31,2,10,903,encerrado,2026-03-16 18:54:10-03
dever,203,E.M. George Pfisterer,707,e0b47ec85506d76909ecc7e6829f0e3ef8be92edb6b328936180e8a94f4c9045,aluno,35,1,10,3986,encerrado,2026-03-16 19:04:23-03
